img,price,url,logindex,title,subwaytag,taxfree,haskey,hstype,houseid,tag,id
http://image1.ljcdn.com/110000-inspection/104fc556-7f5b-46b6-8689-93eec8d842ff.jpg.437x300.jpg," 275",http://bj.lianjia.com/ershoufang/101100919596.html,1," 北京像素  商住两用 民水民电 不限购"," 距离6号线草房站433米"," 房本满五年"," 随时看房"," 不限购",101100919596," 常营  / 1室1厅  / 49.57平米  / 东南  / 简装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/d49c46a2-7cb1-48bc-b8d7-2b9dbdd349c2.jpg.437x300.jpg," 370",http://bj.lianjia.com/ershoufang/101101114380.html,2," 南沙滩小区 1室1厅 370万"," 距离15号线北沙滩站806米"," 房本满五年"," 随时看房",,101101114380," 南沙滩  / 1室1厅  / 46.12平米  / 南 北  / 简装",
http://image1.ljcdn.com/110000-inspection/a2b93ef1-c7dd-48f8-9dac-740b9808fe5b.jpg.437x300.jpg," 260",http://bj.lianjia.com/ershoufang/101101064641.html,3," 正规朝南一居室 视野好 低楼层"," 房本满五年"," 随时看房",,,101101064641," 青塔  / 1室1厅  / 43.73平米  / 南  / 简装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/57118e34-5bd3-44ee-b529-f0a83bc1beee.JPG.437x300.jpg," 470",http://bj.lianjia.com/ershoufang/101101062276.html,4," 翠微路4号 2室1厅 470万"," 距离10号线西钓鱼台站865米"," 房本满五年"," 随时看房",,101101062276," 公主坟  / 2室1厅  / 49.8平米  / 东  / 精装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/e1dc80d9-e559-4e34-9cf1-5c69678f03c7.JPG.437x300.jpg," 405",http://bj.lianjia.com/ershoufang/101101039621.html,5," 和平街十三区  城建集团  南向无遮挡"," 距离13号线柳芳站433米"," 房本满五年"," 随时看房",,101101039621," 和平里  / 2室1厅  / 45.74平米  / 东南 南  / 精装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/dff40acc-2337-4663-a298-4d9b79b86d99.jpg.437x300.jpg," 390",http://bj.lianjia.com/ershoufang/101101114919.html,6," 西坝河东里 2室1厅 390万"," 距离10号线太阳宫站767米"," 房本满五年",,,101101114919," 西坝河  / 2室1厅  / 49.1平米  / 南  / 精装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/b860735f-5d47-4d75-870e-e7cb93eb691b.jpg.437x300.jpg," 460",http://bj.lianjia.com/ershoufang/101101072927.html,7," 什锦花园胡同21号院 1室0厅 460万"," 距离6号线南锣鼓巷站884米"," 房本满五年"," 随时看房",,101101072927," 东四  / 1室0厅  / 34.6平米  / 南  / 精装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/6b58e3e1-ffec-435c-846e-ba0bc0a5975c.jpg.437x300.jpg," 550",http://bj.lianjia.com/ershoufang/101101083814.html,8," 建国门内大街 1室1厅 550万"," 距离1号线建国门站252米"," 房本满五年"," 随时看房",,101101083814," 建国门外  / 1室1厅  / 48.65平米  / 西  / 简装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/f4ee4a1e-c3d6-4f4c-bbc3-d2ce5272a8d0.jpg.437x300.jpg," 260",http://bj.lianjia.com/ershoufang/101101095005.html,9," 双裕小区 1室1厅 260万"," 距离15号线后沙峪站1065米"," 房本满五年"," 随时看房",,101101095005," 后沙峪  / 1室1厅  / 45.21平米  / 南  / 精装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/159213d1-a4db-4348-847c-c7de811cc59c.jpg.437x300.jpg," 410",http://bj.lianjia.com/ershoufang/101101078455.html,10," 惠新里小区 1室1厅 410万"," 距离5号线惠新西街北口站634米"," 房本满五年"," 随时看房",,101101078455," 惠新西街  / 1室1厅  / 46.28平米  / 东南  / 简装",
http://image1.ljcdn.com/110000-inspection/31c61716-efa5-4f08-9ef9-072ab542959b.jpg.437x300.jpg," 342",http://bj.lianjia.com/ershoufang/101101077618.html,11," 10AM新坐标 1室0厅 342万"," 距离14号线(东段)方庄站476米"," 房本满五年"," 随时看房",,101101077618," 方庄  / 1室0厅  / 46.29平米  / 东  / 精装",
http://image1.ljcdn.com/110000-inspection/50bd9ee1-8fd3-45a6-89af-dcd4452b6850.jpg.437x300.jpg," 215",http://bj.lianjia.com/ershoufang/101101056223.html,12," 不限购，精装小开间，东向，出租快"," 距离5号线立水桥南站1069米"," 房本满两年"," 随时看房"," 不限购",101101056223," 北苑  / 1室0厅  / 49.51平米  / 东  / 精装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/94875bcf-4e5e-4d38-ae33-9070149f04c18.jpg.437x300.jpg," 250",http://bj.lianjia.com/ershoufang/101092245495.html,13," 北京像素北区 1室1厅 250万"," 距离6号线草房站427米"," 房本满五年"," 随时看房"," 不限购",101092245495," 常营  / 1室1厅  / 46平米  / 东  / 简装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/54200549-bbee-4fcf-87ef-50a350a0af7b.JPG.437x300.jpg," 145",http://bj.lianjia.com/ershoufang/101101136782.html,14," 五期南向大开间 满五唯一 采光充足"," 房本满五年"," 随时看房"," 不限购",,101101136782," 燕郊城区  / 1室0厅  / 49.27平米  / 南  / 精装",
http://image1.ljcdn.com/110000-inspection/f253f8a0-07b7-487a-9b0b-9e9f7c2e9ab8.jpg.437x300.jpg," 150",http://bj.lianjia.com/ershoufang/101100929445.html,15," 满二年，装修好，楼房位置好，采光好，无遮挡。"," 房本满五年"," 随时看房"," 不限购",,101100929445," 燕郊城区  / 1室0厅  / 49.43平米  / 南  / 精装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/f728aced-0db1-4c61-9f0e-a3378cbeae31.jpg.437x300.jpg," 365",http://bj.lianjia.com/ershoufang/101100890956.html,16," 三源里南小街电梯一居室，精装修，中高层"," 距离10号线亮马桥站732米"," 房本满五年"," 随时看房",,101100890956," 燕莎  / 1室1厅  / 45.2平米  / 西北  / 精装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/83e34e08-5b55-4913-aa6d-41dc8e71f1db.jpg.437x300.jpg," 322",http://bj.lianjia.com/ershoufang/101100896612.html,17," 八里庄北里小区 1室1厅 322万"," 距离6号线十里堡站898米"," 房本满五年"," 随时看房",,101100896612," 石佛营  / 1室1厅  / 49.67平米  / 东 西  / 精装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/9369f6b4-240a-402b-a862-92697fe6ee86.JPG.437x300.jpg," 468",http://bj.lianjia.com/ershoufang/101100925055.html,18," 车道沟南里航天部宿舍小户型二居室"," 距离10号线车道沟站471米"," 房本满五年"," 随时看房",,101100925055," 紫竹桥  / 2室1厅  / 48.4平米  / 西南  / 精装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/9556795e-55a4-405c-8d73-cd1a36048f10.jpg.437x300.jpg," 310",http://bj.lianjia.com/ershoufang/101101025634.html,19," 天天朝阳 北向开间 05年商品房 两梯四户"," 距离6号线青年路站814米"," 房本满五年"," 随时看房",,101101025634," 甘露园  / 1室0厅  / 44.78平米  / 北  / 简装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/db8ba41a-78dc-4a7c-88a0-9256902bc9a2.jpg.437x300.jpg," 280",http://bj.lianjia.com/ershoufang/101101039963.html,20," DBC加州小镇 1室1厅 280万"," 距离八通线土桥站394米"," 房本满五年"," 随时看房",,101101039963," 临河里  / 1室1厅  / 43平米  / 南  / 简装  / 有电梯",
http://image1.ljcdn.com/110000-inspection/7b6317c1-9cff-4d28-abd8-d625db7995d1.JPG.437x300.jpg," 550",http://bj.lianjia.com/ershoufang/101100874855.html,21," 全南向小二居室 全天采光总价低 视野好"," 距离1号线木樨地站568米"," 房本满五年"," 随时看房",,101100874855," 月坛  / 2室1厅  / 49.1平米  / 南  / 简装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/4c31985e-8a62-4153-97d3-1513c0016f5d.jpg.437x300.jpg," 710",http://bj.lianjia.com/ershoufang/101100935616.html,22," 黄庄小区小两居 满五年 诚意出售"," 距离4号线中关村站696米"," 房本满五年",,,101100935616," 中关村  / 2室1厅  / 48.5平米  / 南  / 简装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/fc93adce-1282-4ab7-b935-b5db3e9633b3.jpg.437x300.jpg," 365",http://bj.lianjia.com/ershoufang/101101009858.html,23," 小营东路5号院 南北通透 满五年 家庭仅此一套住房"," 距离8号线永泰庄站377米"," 房本满五年",,,101101009858," 清河  / 2室1厅  / 48.1平米  / 南 北  / 精装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/63fe7c4a-ec77-4cf4-b8d8-4a6ac068ca38.jpg.437x300.jpg," 385",http://bj.lianjia.com/ershoufang/101101103008.html,24," 北蜂窝30号院 2室1厅 385万"," 距离9号线北京西站站752米"," 房本满五年",,,101101103008," 军博  / 2室1厅  / 45.1平米  / 南  / 简装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/4fb0a427-732b-4c76-a3ff-dc5bb5f7d159.jpg.437x300.jpg," 368",http://bj.lianjia.com/ershoufang/101101105008.html,25," 南十里居 2室1厅 368万"," 距离14号线(东段)东风北桥站501米"," 房本满五年",,,101101105008," 朝阳公园  / 2室1厅  / 49.69平米  / 南 西南 北  / 简装  / 无电梯",
http://image1.ljcdn.com/110000-inspection/cbc60bd5-4d69-478c-9641-ef21fdcd5f8b.jpg.437x300.jpg," 290",http://bj.lianjia.com/ershoufang/101100982233.html,26," 古韵新居 1室1厅 290万"," 房本满五年"," 随时看房",,,101100982233," 潞苑  / 1室1厅  / 49.91平米  / 南  / 精装  / 有电梯",
